code;amount;status;country_id;wetsuit
ivip-testwetsuit1;300;0;1;1
ivip-testwetsuit2;300;0;1;1
ivip-testwetsuit3;300;0;1;1
ivip-testwetsuit4;300;0;1;1
ivip-testwetsuit5;300;0;1;1
ivip-testwetsuit6;300;0;1;1
ivip-testwetsuit7;300;0;1;1
ivip-testwetsuit8;300;0;1;1
ivip-testwetsuit9;300;0;1;1
ivip-testwetsuit10;300;0;1;1
ivip-testwetsuit11;300;0;1;1
ivip-testwetsuit12;300;0;1;1
ivip-testwetsuit13;300;0;1;1
ivip-testwetsuit14;300;0;1;1
ivip-testwetsuit15;300;0;1;1
ivip-testwetsuit16;300;0;1;1
ivip-testwetsuit17;300;0;1;1
ivip-testwetsuit18;300;0;1;1
ivip-testwetsuit19;300;0;1;1
ivip-testwetsuit20;300;0;1;1
ivip-testwetsuit1;500;0;1;1
ivip-testwetsuit2;500;0;1;1
ivip-testwetsuit3;500;0;1;1
ivip-testwetsuit4;500;0;1;1
ivip-testwetsuit5;500;0;1;1
ivip-testwetsuit6;500;0;1;1
ivip-testwetsuit7;500;0;1;1
ivip-testwetsuit8;500;0;1;1
ivip-testwetsuit9;500;0;1;1
ivip-testwetsuit10;500;0;1;1
ivip-testwetsuit11;500;0;1;1
ivip-testwetsuit12;500;0;1;1
ivip-testwetsuit13;500;0;1;1
ivip-testwetsuit14;500;0;1;1
ivip-testwetsuit15;500;0;1;1
ivip-testwetsuit16;500;0;1;1
ivip-testwetsuit17;500;0;1;1
ivip-testwetsuit18;500;0;1;1
ivip-testwetsuit19;500;0;1;1
ivip-testwetsuit20;500;0;1;1
ivip-testwetsuit1;800;0;1;1
ivip-testwetsuit2;800;0;1;1
ivip-testwetsuit3;800;0;1;1
ivip-testwetsuit4;800;0;1;1
ivip-testwetsuit5;800;0;1;1
ivip-testwetsuit6;800;0;1;1
ivip-testwetsuit7;800;0;1;1
ivip-testwetsuit8;800;0;1;1
ivip-testwetsuit9;800;0;1;1
ivip-testwetsuit10;800;0;1;1
ivip-testwetsuit11;800;0;1;1
ivip-testwetsuit12;800;0;1;1
ivip-testwetsuit13;800;0;1;1
ivip-testwetsuit14;800;0;1;1
ivip-testwetsuit15;800;0;1;1
ivip-testwetsuit16;800;0;1;1
ivip-testwetsuit17;800;0;1;1
ivip-testwetsuit18;800;0;1;1
ivip-testwetsuit19;800;0;1;1
ivip-testwetsuit20;800;0;1;1
