code;status;country_id
freeshipping-1111111;1;1
freeshipping-1111112;1;1
freeshipping-1111113;1;1
freeshipping-1111114;1;1
freeshipping-1111115;1;1
freeshipping-1111116;1;1
freeshipping-1111117;1;1
freeshipping-1111118;1;1
freeshipping-1111119;1;1
freeshipping-1111120;1;1
freeshipping-1111121;1;1
freeshipping-1111122;1;1
freeshipping-1111123;1;1
freeshipping-1111124;1;1
freeshipping-1111125;1;1
freeshipping-1111126;1;1
freeshipping-1111127;1;1
freeshipping-1111128;1;1
freeshipping-1111129;1;1
freeshipping-1111130;1;1
freeshipping-1111131;1;1
freeshipping-1111132;1;1
freeshipping-1111133;1;1
freeshipping-1111134;1;1
freeshipping-1111135;1;1
freeshipping-1111136;1;1
freeshipping-1111137;1;1
freeshipping-1111138;1;1
freeshipping-1111139;1;1
freeshipping-1111140;1;1
freeshipping-1111141;1;1
freeshipping-1111142;1;1
freeshipping-1111143;1;1
freeshipping-1111144;1;1
freeshipping-1111145;1;1
freeshipping-1111146;1;1
freeshipping-1111147;1;1
freeshipping-1111148;1;1
freeshipping-1111149;1;1
freeshipping-1111150;1;1
freeshipping-1111151;1;1
freeshipping-1111152;1;1
freeshipping-1111153;1;1
freeshipping-1111154;1;1
freeshipping-1111155;1;1
freeshipping-1111156;1;1
freeshipping-1111157;1;1
freeshipping-1111158;1;1
freeshipping-1111159;1;1
freeshipping-1111160;1;1
freeshipping-1111161;1;1
freeshipping-1111162;1;1
freeshipping-1111163;1;1
freeshipping-1111164;1;1
freeshipping-1111165;1;1
freeshipping-1111166;1;1
freeshipping-1111111;1;2
freeshipping-1111112;1;2
freeshipping-1111113;1;2
freeshipping-1111114;1;2
freeshipping-1111115;1;2
freeshipping-1111116;1;2
freeshipping-1111117;1;2
freeshipping-1111118;1;2
freeshipping-1111119;1;2
freeshipping-1111120;1;2
freeshipping-1111121;1;2
freeshipping-1111122;1;2
freeshipping-1111123;1;2
freeshipping-1111124;1;2
freeshipping-1111125;1;2
freeshipping-1111126;1;2
freeshipping-1111127;1;2
freeshipping-1111128;1;2
freeshipping-1111129;1;2
freeshipping-1111130;1;2
freeshipping-1111131;1;2
freeshipping-1111132;1;2
freeshipping-1111133;1;2
freeshipping-1111134;1;2
freeshipping-1111135;1;2
freeshipping-1111136;1;2
freeshipping-1111137;1;2
freeshipping-1111138;1;2
freeshipping-1111139;1;2
freeshipping-1111140;1;2
freeshipping-1111141;1;2
freeshipping-1111142;1;2
freeshipping-1111143;1;2
freeshipping-1111144;1;2
freeshipping-1111145;1;2
freeshipping-1111146;1;2
freeshipping-1111147;1;2
freeshipping-1111148;1;2
freeshipping-1111149;1;2
freeshipping-1111150;1;2
freeshipping-1111151;1;2
freeshipping-1111152;1;2
freeshipping-1111153;1;2
freeshipping-1111154;1;2
freeshipping-1111155;1;2
freeshipping-1111156;1;2
freeshipping-1111157;1;2
freeshipping-1111158;1;2
freeshipping-1111159;1;2
freeshipping-1111160;1;2
freeshipping-1111161;1;2
freeshipping-1111162;1;2
freeshipping-1111163;1;2
freeshipping-1111164;1;2
freeshipping-1111165;1;2
freeshipping-1111166;1;2
freeshipping-1111111;1;3
freeshipping-1111112;1;3
freeshipping-1111113;1;3
freeshipping-1111114;1;3
freeshipping-1111115;1;3
freeshipping-1111116;1;3
freeshipping-1111117;1;3
freeshipping-1111118;1;3
freeshipping-1111119;1;3
freeshipping-1111120;1;3
freeshipping-1111121;1;3
freeshipping-1111122;1;3
freeshipping-1111123;1;3
freeshipping-1111124;1;3
freeshipping-1111125;1;3
freeshipping-1111126;1;3
freeshipping-1111127;1;3
freeshipping-1111128;1;3
freeshipping-1111129;1;3
freeshipping-1111130;1;3
freeshipping-1111131;1;3
freeshipping-1111132;1;3
freeshipping-1111133;1;3
freeshipping-1111134;1;3
freeshipping-1111135;1;3
freeshipping-1111136;1;3
freeshipping-1111137;1;3
freeshipping-1111138;1;3
freeshipping-1111139;1;3
freeshipping-1111140;1;3
freeshipping-1111141;1;3
freeshipping-1111142;1;3
freeshipping-1111143;1;3
freeshipping-1111144;1;3
freeshipping-1111145;1;3
freeshipping-1111146;1;3
freeshipping-1111147;1;3
freeshipping-1111148;1;3
freeshipping-1111149;1;3
freeshipping-1111150;1;3
freeshipping-1111151;1;3
freeshipping-1111152;1;3
freeshipping-1111153;1;3
freeshipping-1111154;1;3
freeshipping-1111155;1;3
freeshipping-1111156;1;3
freeshipping-1111157;1;3
freeshipping-1111158;1;3
freeshipping-1111159;1;3
freeshipping-1111160;1;3
freeshipping-1111161;1;3
freeshipping-1111162;1;3
freeshipping-1111163;1;3
freeshipping-1111164;1;3
freeshipping-1111165;1;3
freeshipping-1111166;1;3
